sku,nama_produk,satuan_jual,satuan_beli,isi_per_satuan_beli,kategori,harga_modal_default,harga_jual_referensi,target_stok_minimum
3-BD-ALL-RAB-1,Bedong Bayi Beruang Raster Abu,pcs,lusin,12,Bedong,,110000,50
5IN1-KM-03B-AZR-1,5in1 Kimono Newborn Azure,set,lusin,12,Setelan Newborn,,69900,50
5IN1-KM-03B-ALP-1,5in1 Kimono Newborn Alpine,set,lusin,12,Setelan Newborn,,69900,50
3ST-STPD-03B-KSG-1,3 Set Pendek Kotak Sage,set,lusin,12,Setelan Bayi,,52000,50
3ST-STBT-03B-KSG-1,3 Set Buntung Kotak Sage,set,lusin,12,Setelan Bayi,,39600,50
3ST-STPJ-03B-KSG-1,3 Set Panjang Kotak Sage,set,lusin,12,Setelan Bayi,,61600,50
3ST-STBT-03B-MR-1,3 Set Buntung Mickey Red Newborn,set,lusin,12,Setelan Bayi,,39600,50
3ST-STPJ-03B-MR-1,3 Set Panjang Mickey Red Newborn,set,lusin,12,Setelan Bayi,,61600,50
3ST-STPD-03B-MR-1,3 Set Pendek Mickey Red Newborn,set,lusin,12,Setelan Bayi,,52000,50
3-KSPD-03B-BCK-1,6pcs Kancing Samping Pendek Beruang Coklat Newborn,set,lusin,12,Setelan Bayi,,65600,50
3ST-KSBT-03B-BCK-1,6pcs Kancing Samping Buntung Beruang Coklat Newborn,set,lusin,12,Setelan Bayi,,57400,50
3ST-KSPJ-03B-BCK-1,6pcs Kancing Samping Panjang Beruang Coklat Newborn,set,lusin,12,Setelan Bayi,,71000,50
