sku,kuantitas_tersedia,sumber
3-BD-ALL-RAB-1,998,Saldo tercatat di Shopee per tanggal ekspor
5IN1-KM-03B-AZR-1,981,Saldo tercatat di Shopee per tanggal ekspor
5IN1-KM-03B-ALP-1,965,Saldo tercatat di Shopee per tanggal ekspor
3ST-STPD-03B-KSG-1,1000,Saldo tercatat di Shopee per tanggal ekspor
3ST-STBT-03B-KSG-1,1000,Saldo tercatat di Shopee per tanggal ekspor
3ST-STPJ-03B-KSG-1,1000,Saldo tercatat di Shopee per tanggal ekspor
3ST-STBT-03B-MR-1,1000,Saldo tercatat di Shopee per tanggal ekspor
3ST-STPJ-03B-MR-1,998,Saldo tercatat di Shopee per tanggal ekspor
3ST-STPD-03B-MR-1,999,Saldo tercatat di Shopee per tanggal ekspor
3-KSPD-03B-BCK-1,839,Saldo tercatat di Shopee per tanggal ekspor
3ST-KSBT-03B-BCK-1,948,Saldo tercatat di Shopee per tanggal ekspor
3ST-KSPJ-03B-BCK-1,269,Saldo tercatat di Shopee per tanggal ekspor
